Country;IDCountry;populationGroup;IDpopulationGroup;CategoryLevel;Category1;IDCategory1;Category2;IDCategory2;avg_consume [grams/day/person];avg_consume [grams/kg body weight]
Estonia;63;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;600,624;15,727
Netherlands;162;Elderly;12;1;Water and water based drinks;10489266;NULL;NULL;599,091;7,772
Bulgaria;24;Adolescents;7;2;Alcoholic beverages;10489503;Beer;10489514;595,625;9,826
United Kingdom;77;Very_elderly;13;1;Water and water based drinks;10489266;NULL;NULL;595,265;8,559
Spain;67;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;594,238;12,229
Denmark;58;Very_elderly;13;1;Water and water based drinks;10489266;NULL;NULL;590,381;8,121
Latvia;132;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;583,261;11,925
Netherlands;162;Elderly;12;1;Water and water based drinks;10489266;NULL;NULL;579,442;7,563
Denmark;58;Very_elderly;13;2;Water and water based drinks;10489266;Drinking water;10489267;573,238;7,88
Bulgaria;24;Adults;10;2;Alcoholic beverages;10489503;Beer;10489514;572,973;7,705
France;75;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;572,581;11,536
Spain;67;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;571,196;9,144
Slovakia;198;Adults;10;1;Alcoholic beverages;10489503;NULL;NULL;567,501;6,95
Slovakia;198;Adults;10;2;Water and water based drinks;10489266;Water based beverages;10490622;565,639;7,45
Estonia;63;Elderly;12;2;Alcoholic beverages;10489503;Beer;10489514;565,213;7,229
Germany;56;Adults;10;2;Alcoholic beverages;10489503;Beer;10489514;563,696;6,964
Spain;67;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;561,921;8,551
Austria;14;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;553,823;12,023
Slovenia;196;Adults;10;2;Alcoholic beverages;10489503;Beer;10489514;552,5;7,251
Sweden;193;Elderly;12;1;Water and water based drinks;10489266;NULL;NULL;551,784;7,628
Belgium;22;Very_elderly;13;1;Water and water based drinks;10489266;NULL;NULL;551,183;8,049
Netherlands;162;Elderly;12;2;Water and water based drinks;10489266;Drinking water;10489267;548,591;7,204
Latvia;132;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;547,275;11,222
Netherlands;162;Elderly;12;2;Water and water based drinks;10489266;Drinking water;10489267;543,474;7,116
Netherlands;162;Adults;10;1;Alcoholic beverages;10489503;NULL;NULL;542,921;7,25
Spain;67;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;541,877;11,246
United Kingdom;77;Very_elderly;13;2;Water and water based drinks;10489266;Drinking water;10489267;539,837;7,836
Finland;70;Adults;10;2;Alcoholic beverages;10489503;Beer;10489514;537,958;6,564
Belgium;22;Very_elderly;13;2;Water and water based drinks;10489266;Drinking water;10489267;535,914;7,819
Austria;14;Adults;10;2;Alcoholic beverages;10489503;Alcoholic beverages;10489503;533,75;4,742
Ireland;101;Adults;10;1;Alcoholic beverages;10489503;NULL;NULL;531,136;6,698
Sweden;193;Elderly;12;2;Water and water based drinks;10489266;Drinking water;10489267;527,469;7,322
Netherlands;162;Adolescents;7;2;Water and water based drinks;10489266;Water based beverages;10490622;523,527;10,06
Belgium;22;Adolescents;7;2;Water and water based drinks;10489266;Water based beverages;10490622;520,984;8,496
Belgium;22;Adolescents;7;2;Alcoholic beverages;10489503;Beer;10489514;516,441;8,179
Bulgaria;24;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;512,5;7,967
Ireland;101;Elderly;12;1;Water and water based drinks;10489266;NULL;NULL;511,728;7,177
Croatia;97;Adults;10;2;Alcoholic beverages;10489503;Beer;10489514;510,286;6,265
Netherlands;162;Very_elderly;13;1;Water and water based drinks;10489266;NULL;NULL;509,581;6,868
